Group,Variable,Count,Mean,Standard_Deviation,Median,Minimum,Maximum
Overall,total_indications,406184,2.919,7.391,1.0,0,734
Overall,num_unique_indications,406184,1.365,1.283,1.0,0,38
Overall,flag_type2_diabetes,406184,0.019,0.135,0.0,0,1
Overall,flag_type1_diabetes,406184,0.001,0.037,0.0,0,1
Overall,flag_any_diabetes,406184,0.03,0.172,0.0,0,1
Overall,flag_hypertension,406184,0.017,0.13,0.0,0,1
Overall,flag_chronic_kidney_disease,406184,0.001,0.033,0.0,0,1
Overall,flag_heart_failure,406184,0.002,0.05,0.0,0,1
Overall,flag_obesity,406184,0.001,0.032,0.0,0,1
Overall,flag_unknown_indication,406184,0.337,0.473,0.0,0,1
Non-serious,total_indications,183820,1.835,2.786,1.0,0,81
Non-serious,num_unique_indications,183820,1.122,0.756,1.0,0,34
Non-serious,flag_type2_diabetes,183820,0.025,0.155,0.0,0,1
Non-serious,flag_type1_diabetes,183820,0.002,0.04,0.0,0,1
Non-serious,flag_any_diabetes,183820,0.036,0.186,0.0,0,1
Non-serious,flag_hypertension,183820,0.004,0.067,0.0,0,1
Non-serious,flag_chronic_kidney_disease,183820,0.001,0.027,0.0,0,1
Non-serious,flag_heart_failure,183820,0.001,0.024,0.0,0,1
Non-serious,flag_obesity,183820,0.001,0.034,0.0,0,1
Non-serious,flag_unknown_indication,183820,0.358,0.479,0.0,0,1
Serious,total_indications,222364,3.816,9.57,1.0,0,734
Serious,num_unique_indications,222364,1.566,1.564,1.0,0,38
Serious,flag_type2_diabetes,222364,0.014,0.116,0.0,0,1
Serious,flag_type1_diabetes,222364,0.001,0.035,0.0,0,1
Serious,flag_any_diabetes,222364,0.026,0.158,0.0,0,1
Serious,flag_hypertension,222364,0.028,0.164,0.0,0,1
Serious,flag_chronic_kidney_disease,222364,0.001,0.038,0.0,0,1
Serious,flag_heart_failure,222364,0.004,0.064,0.0,0,1
Serious,flag_obesity,222364,0.001,0.03,0.0,0,1
Serious,flag_unknown_indication,222364,0.32,0.467,0.0,0,1
