Group,Variable,Count,Mean,Standard_Deviation,Median,Minimum,Maximum
Overall,total_therapies,406184,1.463,4.554,1.0,0.0,546.0
Overall,num_therapies_with_duration,406184,0.429,2.734,0.0,0.0,397.0
Overall,mean_therapy_duration_days,406184,31.477,226.89,0.0,0.0,3650.0
Overall,median_therapy_duration_days,406184,30.378,226.947,0.0,0.0,3650.0
Overall,min_therapy_duration_days,406184,26.363,214.283,0.0,0.0,3650.0
Overall,max_therapy_duration_days,406184,39.969,270.37,0.0,0.0,3650.0
Overall,short_term_therapy,406184,0.1,0.3,0.0,0.0,1.0
Overall,long_term_therapy,406184,0.036,0.186,0.0,0.0,1.0
Overall,therapy_duration_outlier_present,406184,0.003,0.05,0.0,0.0,1.0
Non-serious,total_therapies,183820,0.726,1.894,0.0,0.0,254.0
Non-serious,num_therapies_with_duration,183820,0.129,1.265,0.0,0.0,244.0
Non-serious,mean_therapy_duration_days,183820,7.674,105.76,0.0,0.0,3650.0
Non-serious,median_therapy_duration_days,183820,7.561,105.656,0.0,0.0,3650.0
Non-serious,min_therapy_duration_days,183820,6.922,101.757,0.0,0.0,3650.0
Non-serious,max_therapy_duration_days,183820,8.803,118.966,0.0,0.0,3650.0
Non-serious,short_term_therapy,183820,0.061,0.239,0.0,0.0,1.0
Non-serious,long_term_therapy,183820,0.009,0.092,0.0,0.0,1.0
Non-serious,therapy_duration_outlier_present,183820,0.0,0.022,0.0,0.0,1.0
Serious,total_therapies,222364,2.073,5.839,1.0,0.0,546.0
Serious,num_therapies_with_duration,222364,0.678,3.491,0.0,0.0,397.0
Serious,mean_therapy_duration_days,222364,51.153,289.713,0.0,0.0,3650.0
Serious,median_therapy_duration_days,222364,49.239,289.944,0.0,0.0,3650.0
Serious,min_therapy_duration_days,222364,42.435,273.395,0.0,0.0,3650.0
Serious,max_therapy_duration_days,222364,65.732,346.933,0.0,0.0,3650.0
Serious,short_term_therapy,222364,0.133,0.339,0.0,0.0,1.0
Serious,long_term_therapy,222364,0.059,0.235,0.0,0.0,1.0
Serious,therapy_duration_outlier_present,222364,0.004,0.065,0.0,0.0,1.0
